,テキスト,部,章,章（ラベル）,テキスト_形態素
206,　その時生垣の向うで金魚売りらしい声がした。その外には何の聞こえるものもなかった。大通りから二丁も深く折れ込んだ小路は存外静かであった。家の中はいつもの通りひっそりしていた。私は次の間に奥さんのいる事を知っていた。黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。しかし私は全くそれを忘れてしまった。,[1]上＿先生と私,1_14,上・十四,"['その', '時', '生垣', 'の', '向う', 'で', '金魚', '売る', 'らしい', '声', 'が', 'する', 'た', 'その', '外', 'に', 'は', '何', 'の', '聞こえる', 'もの', 'も', 'ない', 'た', '大通り', 'から', '二', '丁', 'も', '深い', '折れ込む', 'だ', '小路', 'は', '存外', '静か', 'だ', 'ある', 'た', '家', 'の', '中', 'は', 'いつも', 'の', '通り', 'ひっそり', 'する', 'て', 'いる', 'た', '私', 'は', '次の間', 'に', '奥さん', 'の', 'いる', '事', 'を', '知る', 'て', 'いる', 'た', '黙る', 'て', '針仕事', 'か', '何', 'か', 'する', 'て', 'いる', '奥さん', 'の', '耳', 'に', '私', 'の', '話し声', 'が', '聞こえる', 'という', '事', 'も', '知る', 'て', 'いる', 'た', 'しかし', '私', 'は', '全く', 'それ', 'を', '忘れる', 'て', 'しまう', 'た']"
207,「じゃ奥さんも信用なさらないんですか」と先生に聞いた。,[1]上＿先生と私,1_14,上・十四,"['じゃ', '奥さん', 'も', '信用', 'なさる', 'ない', 'ん', 'です', 'か', 'と', '先生', 'に', '聞く', 'た']"
208,　先生は少し不安な顔をした。そうして直接の答えを避けた。,[1]上＿先生と私,1_14,上・十四,"['先生', 'は', '少し', '不安', 'だ', '顔', 'を', 'する', 'た', 'そうして', '直接', 'の', '答え', 'を', '避ける', 'た']"
209,「私は私自身さえ信用していないのです。つまり自分で自分が信用できないから、人も信用できないようになっているのです。自分を呪うより外に仕方がないのです」,[1]上＿先生と私,1_14,上・十四,"['私', 'は', '私', '自身', 'さえ', '信用', 'する', 'て', 'いる', 'ない', 'の', 'です', 'つまり', '自分', 'で', '自分', 'が', '信用', 'できる', 'ない', 'から', '人', 'も', '信用', 'できる', 'ない', 'よう', 'に', 'なる', 'て', 'いる', 'の', 'です', '自分', 'を', '呪う', 'より', '外', 'に', '仕方', 'が', 'ない', 'の', 'です']"
210,「そうむずかしく考えれば、誰だって確かなものはないでしょう」,[1]上＿先生と私,1_14,上・十四,"['そう', 'むずかしい', '考える', 'ば', '誰', 'だって', '確か', 'だ', 'もの', 'は', 'ない', 'です', 'う']"
211,「いや考えたんじゃない。やったんです。やった後で驚いたんです。そうして非常に怖くなったんです」,[1]上＿先生と私,1_14,上・十四,"['いや', '考える', 'た', 'ん', 'じゃ', 'ない', 'やる', 'た', 'ん', 'です', 'やる', 'た', '後', 'で', '驚く', 'た', 'ん', 'です', 'そうして', '非常', 'に', '怖い', 'なる', 'た', 'ん', 'です']"
212,　私はもう少し先まで同じ道を辿って行きたかった。すると襖の陰で「あなた、あなた」という奥さんの声が二度聞こえた。先生は二度目に「何だい」といった。奥さんは「ちょっと」と先生を次の間へ呼んだ。二人の間にどんな用事が起ったのか、私には解らなかった。それを想像する余裕を与えないほど早く先生はまた座敷へ帰って来た。,[1]上＿先生と私,1_14,上・十四,"['私', 'は', 'もう少し', '先', 'まで', '同じ', '道', 'を', '辿る', 'て', '行く', 'たい', 'た', 'すると', '襖', 'の', '陰', 'で', 'あなた', 'あなた', 'という', '奥さん', 'の', '声', 'が', '二', '度', '聞こえる', 'た', '先生', 'は', '二', '度目', 'に', '何', 'だい', 'と', 'いう', 'た', '奥さん', 'は', 'ちょっと', 'と', '先生', 'を', '次の間', 'へ', '呼ぶ', 'だ', '二', '人', 'の', '間', 'に', 'どんな', '用事', 'が', '起る', 'た', 'の', 'か', '私', 'に', 'は', '解る', 'ない', 'た', 'それ', 'を', '想像', 'する', '余裕', 'を', '与える', 'ない', 'ほど', '早い', '先生', 'は', 'また', '座敷', 'へ', '帰る', 'て', '来る', 'た']"
213,「とにかくあまり私を信用してはいけませんよ。今に後悔するから。そうして自分が欺かれた返報に、残酷な復讐をするようになるものだから」,[1]上＿先生と私,1_14,上・十四,"['とにかく', 'あまり', '私', 'を', '信用', 'する', 'て', 'は', 'いける', 'ます', 'ん', 'よ', '今', 'に', '後悔', 'する', 'から', 'そうして', '自分', 'が', '欺く', 'れる', 'た', '返報', 'に', '残酷', 'だ', '復讐', 'を', 'する', 'よう', 'に', 'なる', 'もの', 'だ', 'から']"
214,「そりゃどういう意味ですか」,[1]上＿先生と私,1_14,上・十四,"['そりゃ', 'どういう', '意味', 'です', 'か']"
215,「かつてはその人の膝の前に跪いたという記憶が、今度はその人の頭の上に足を載せさせようとするのです。私は未来の侮辱を受けないために、今の尊敬を斥けたいと思うのです。私は今より一層淋しい未来の私を我慢する代りに、淋しい今の私を我慢したいのです。自由と独立と己れとに充ちた現代に生れた我々は、その犠牲としてみんなこの淋しみを味わわなくてはならないでしょう」,[1]上＿先生と私,1_14,上・十四,"['かつて', 'は', 'その', '人', 'の', '膝', 'の', '前', 'に', '跪く', 'た', 'という', '記憶', 'が', '今度', 'は', 'その', '人', 'の', '頭', 'の', '上', 'に', '足', 'を', '載せる', 'させる', 'う', 'と', 'する', 'の', 'です', '私', 'は', '未来', 'の', '侮辱', 'を', '受ける', 'ない', 'ため', 'に', '今', 'の', '尊敬', 'を', '斥ける', 'たい', 'と', '思う', 'の', 'です', '私', 'は', '今', 'より', '一層', '淋しい', '未来', 'の', '私', 'を', '我慢', 'する', '代り', 'に', '淋しい', '今', 'の', '私', 'を', '我慢', 'する', 'たい', 'の', 'です', '自由', 'と', '独立', 'と', '己', 'れる', 'と', 'に', '充ちる', 'た', '現代', 'に', '生れる', 'た', '我々', 'は', 'その', '犠牲', 'として', 'みんな', 'この', '淋しい', 'み', 'を', '味わう', 'ない', 'て', 'は', 'なる', 'ない', 'です', 'う']"
216,　私はこういう覚悟をもっている先生に対して、いうべき言葉を知らなかった。,[1]上＿先生と私,1_14,上・十四,"['私', 'は', 'こういう', '覚悟', 'を', 'もつ', 'て', 'いる', '先生', 'に対して', 'いう', 'べし', '言葉', 'を', '知る', 'ない', 'た']"
217,　その後私は奥さんの顔を見るたびに気になった。先生は奥さんに対しても始終こういう態度に出るのだろうか。もしそうだとすれば、奥さんはそれで満足なのだろうか。,[1]上＿先生と私,1_15,上・十五,"['その後', '私', 'は', '奥さん', 'の', '顔', 'を', '見る', 'たび', 'に', '気', 'に', 'なる', 'た', '先生', 'は', '奥さん', 'に対して', 'も', '始終', 'こういう', '態度', 'に', '出る', 'の', 'だ', 'う', 'か', 'もし', 'そう', 'だ', 'と', 'する', 'ば', '奥さん', 'は', 'それ', 'で', '満足', 'だ', 'の', 'だ', 'う', 'か']"
218,　奥さんの様子は満足とも不満足とも極めようがなかった。私はそれほど近く奥さんに接触する機会がなかったから。それから奥さんは私に会うたびに尋常であったから。最後に先生のいる席でなければ私と奥さんとは滅多に顔を合せなかったから。,[1]上＿先生と私,1_15,上・十五,"['奥さん', 'の', '様子', 'は', '満足', 'とも', '不満足', 'とも', '極め', 'よう', 'が', 'ない', 'た', '私', 'は', 'それほど', '近く', '奥さん', 'に', '接触', 'する', '機会', 'が', 'ない', 'た', 'から', 'それから', '奥さん', 'は', '私', 'に', '会う', 'たび', 'に', '尋常', 'だ', 'ある', 'た', 'から', '最後', 'に', '先生', 'の', 'いる', '席', 'だ', 'ない', 'ば', '私', 'と', '奥さん', 'と', 'は', '滅多', 'に', '顔', 'を', '合せる', 'ない', 'た', 'から']"
219,　私の疑惑はまだその上にもあった。先生の人間に対するこの覚悟はどこから来るのだろうか。ただ冷たい眼で自分を内省したり現代を観察したりした結果なのだろうか。先生は坐って考える質の人であった。先生の頭さえあれば、こういう態度は坐って世の中を考えていても自然と出て来るものだろうか。私にはそうばかりとは思えなかった。先生の覚悟は生きた覚悟らしかった。火に焼けて冷却し切った石造家屋の輪廓とは違っていた。私の眼に映ずる先生はたしかに思想家であった。けれどもその思想家の纏め上げた主義の裏には、強い事実が織り込まれているらしかった。自分と切り離された他人の事実でなくって、自分自身が痛切に味わった事実、血が熱くなったり脈が止まったりするほどの事実が、畳み込まれているらしかった。,[1]上＿先生と私,1_15,上・十五,"['私', 'の', '疑惑', 'は', 'まだ', 'その', '上', 'に', 'も', 'ある', 'た', '先生', 'の', '人間', 'に対する', 'この', '覚悟', 'は', 'どこ', 'から', '来る', 'の', 'だ', 'う', 'か', 'ただ', '冷たい', '眼', 'で', '自分', 'を', '内省', 'する', 'たり', '現代', 'を', '観察', 'する', 'たり', 'する', 'た', '結果', 'だ', 'の', 'だ', 'う', 'か', '先生', 'は', '坐る', 'て', '考える', '質', 'の', '人', 'だ', 'ある', 'た', '先生', 'の', '頭', 'さえ', 'ある', 'ば', 'こういう', '態度', 'は', '坐る', 'て', '世の中', 'を', '考える', 'て', 'いる', 'て', 'も', '自然', 'と', '出る', 'て', '来る', 'もの', 'だ', 'う', 'か', '私', 'に', 'は', 'そう', 'ばかり', 'と', 'は', '思える', 'ない', 'た', '先生', 'の', '覚悟', 'は', '生きる', 'た', '覚悟', 'らしい', 'た', '火', 'に', '焼ける', 'て', '冷却', 'する', '切る', 'た', '石造', '家屋', 'の', '輪廓', 'と', 'は', '違う', 'て', 'いる', 'た', '私', 'の', '眼', 'に', '映ずる', '先生', 'は', 'たしかに', '思想家', 'だ', 'ある', 'た', 'けれども', 'その', '思想家', 'の', '纏める', '上げる', 'た', '主義', 'の', '裏', 'に', 'は', '強い', '事実', 'が', '織り込む', 'れる', 'て', 'いる', 'らしい', 'た', '自分', 'と', '切り離す', 'れる', 'た', '他人', 'の', '事実', 'だ', 'ない', 'て', '自分', '自身', 'が', '痛切', 'に', '味わう', 'た', '事実', '血', 'が', '熱い', 'なる', 'たり', '脈', 'が', '止まる', 'たり', 'する', 'ほど', 'の', '事実', 'が', '畳み込む', 'れる', 'て', 'いる', 'らしい', 'た']"
220,　これは私の胸で推測するがものはない。先生自身すでにそうだと告白していた。ただその告白が雲の峯のようであった。私の頭の上に正体の知れない恐ろしいものを蔽い被せた。そうしてなぜそれが恐ろしいか私にも解らなかった。告白はぼうとしていた。それでいて明らかに私の神経を震わせた。,[1]上＿先生と私,1_15,上・十五,"['これ', 'は', '私', 'の', '胸', 'で', '推測', 'する', 'が', 'もの', 'は', 'ない', '先生', '自身', 'すでに', 'そう', 'だ', 'と', '告白', 'する', 'て', 'いる', 'た', 'ただ', 'その', '告白', 'が', '雲', 'の', '峯', 'の', 'よう', 'だ', 'ある', 'た', '私', 'の', '頭', 'の', '上', 'に', '正体', 'の', '知れる', 'ない', '恐ろしい', 'もの', 'を', '蔽う', '被せる', 'た', 'そうして', 'なぜ', 'それ', 'が', '恐ろしい', 'か', '私', 'に', 'も', '解る', 'ない', 'た', '告白', 'は', 'ぼう', 'と', 'する', 'て', 'いる', 'た', 'それでいて', '明らか', 'に', '私', 'の', '神経', 'を', '震わせる', 'た']"
221,　私は先生のこの人生観の基点に、或る強烈な恋愛事件を仮定してみた。（無論先生と奥さんとの間に起った）。先生がかつて恋は罪悪だといった事から照らし合せて見ると、多少それが手掛りにもなった。しかし先生は現に奥さんを愛していると私に告げた。すると二人の恋からこんな厭世に近い覚悟が出ようはずがなかった。「かつてはその人の前に跪いたという記憶が、今度はその人の頭の上に足を載せさせようとする」といった先生の言葉は、現代一般の誰彼について用いられるべきで、先生と奥さんの間には当てはまらないもののようでもあった。,[1]上＿先生と私,1_15,上・十五,"['私', 'は', '先生', 'の', 'この', '人生', '観', 'の', '基点', 'に', '或', 'り', '強烈', 'だ', '恋愛', '事件', 'を', '仮定', 'する', 'て', 'みる', 'た', '無論', '先生', 'と', '奥さん', 'と', 'の', '間', 'に', '起る', 'た', '先生', 'が', 'かつて', '恋', 'は', '罪悪', 'だ', 'といった', '事', 'から', '照らし合せる', 'て', '見る', 'と', '多少', 'それ', 'が', '手掛り', 'に', 'も', 'なる', 'た', 'しかし', '先生', 'は', '現に', '奥さん', 'を', '愛す', 'て', 'いる', 'と', '私', 'に', '告げる', 'た', 'すると', '二', '人', 'の', '恋', 'から', 'こんな', '厭世', 'に', '近い', '覚悟', 'が', '出る', 'う', 'はず', 'が', 'ない', 'た', 'かつて', 'は', 'その', '人', 'の', '前', 'に', '跪く', 'た', 'という', '記憶', 'が', '今度', 'は', 'その', '人', 'の', '頭', 'の', '上', 'に', '足', 'を', '載せる', 'させる', 'う', 'と', 'する', 'といった', '先生', 'の', '言葉', 'は', '現代', '一般', 'の', '誰彼', 'について', '用いる', 'られる', 'べし', 'だ', '先生', 'と', '奥さん', 'の', '間', 'に', 'は', '当てはまる', 'ない', 'もの', 'の', 'よう', 'でも', 'ある', 'た']"
222,　雑司ケ谷にある誰だか分らない人の墓、これも私の記憶に時々動いた。私はそれが先生と深い縁故のある墓だという事を知っていた。先生の生活に近づきつつありながら、近づく事のできない私は、先生の頭の中にある生命の断片として、その墓を私の頭の中にも受け入れた。けれども私に取ってその墓は全く死んだものであった。二人の間にある生命の扉を開ける鍵にはならなかった。むしろ二人の間に立って、自由の往来を妨げる魔物のようであった。,[1]上＿先生と私,1_15,上・十五,"['雑司ケ谷', 'に', 'ある', '誰', 'だ', 'か', '分る', 'ない', '人', 'の', '墓', 'これ', 'も', '私', 'の', '記憶', 'に', '時々', '動く', 'た', '私', 'は', 'それ', 'が', '先生', 'と', '深い', '縁故', 'の', 'ある', '墓', 'だ', 'という', '事', 'を', '知る', 'て', 'いる', 'た', '先生', 'の', '生活', 'に', '近づく', 'つつ', 'ある', 'ながら', '近づく', '事', 'の', 'できる', 'ない', '私', 'は', '先生', 'の', '頭', 'の', '中', 'に', 'ある', '生命', 'の', '断片', 'として', 'その', '墓', 'を', '私', 'の', '頭', 'の', '中', 'に', 'も', '受け入れる', 'た', 'けれども', '私', 'に', '取る', 'て', 'その', '墓', 'は', '全く', '死ぬ', 'だ', 'もの', 'だ', 'ある', 'た', '二', '人', 'の', '間', 'に', 'ある', '生命', 'の', '扉', 'を', '開ける', '鍵', 'に', 'は', 'なる', 'ない', 'た', 'むしろ', '二', '人', 'の', '間', 'に', '立つ', 'て', '自由', 'の', '往来', 'を', '妨げる', '魔物', 'の', 'よう', 'だ', 'ある', 'た']"
223,　そうこうしているうちに、私はまた奥さんと差し向いで話をしなければならない時機が来た。その頃は日の詰って行くせわしない秋に、誰も注意を惹かれる肌寒の季節であった。先生の附近で盗難に罹ったものが三、四日続いて出た。盗難はいずれも宵の口であった。大したものを持って行かれた家はほとんどなかったけれども、はいられた所では必ず何か取られた。奥さんは気味をわるくした。そこへ先生がある晩家を空けなければならない事情ができてきた。先生と同郷の友人で地方の病院に奉職しているものが上京したため、先生は外の二、三名と共に、ある所でその友人に飯を食わせなければならなくなった。先生は訳を話して、私に帰ってくる間までの留守番を頼んだ。私はすぐ引き受けた。,[1]上＿先生と私,1_15,上・十五,"['そう', 'こう', 'する', 'て', 'いる', 'うち', 'に', '私', 'は', 'また', '奥さん', 'と', '差し', '向い', 'で', '話', 'を', 'する', 'ない', 'ば', 'なる', 'ない', '時機', 'が', '来る', 'た', 'その', '頃', 'は', '日', 'の', '詰る', 'て', '行く', 'せわ', 'する', 'ない', '秋', 'に', '誰', 'も', '注意', 'を', '惹く', 'れる', '肌', '寒', 'の', '季節', 'だ', 'ある', 'た', '先生', 'の', '附近', 'で', '盗難', 'に', '罹る', 'た', 'もの', 'が', '三', '四', '日', '続く', 'て', '出る', 'た', '盗難', 'は', 'いずれ', 'も', '宵の口', 'だ', 'ある', 'た', '大した', 'もの', 'を', '持つ', 'て', '行く', 'れる', 'た', '家', 'は', 'ほとんど', 'ない', 'た', 'けれども', 'はいる', 'れる', 'た', '所', 'で', 'は', '必ず', '何', 'か', '取る', 'れる', 'た', '奥さん', 'は', '気味', 'を', 'わるい', 'する', 'た', 'そこ', 'へ', '先生', 'が', 'ある', '晩', '家', 'を', '空ける', 'ない', 'ば', 'なる', 'ない', '事情', 'が', 'できる', 'て', 'くる', 'た', '先生', 'と', '同郷', 'の', '友人', 'で', '地方', 'の', '病院', 'に', '奉職', 'する', 'て', 'いる', 'もの', 'が', '上京', 'する', 'た', 'ため', '先生', 'は', '外', 'の', '二', '三', '名', 'と共に', 'ある', '所', 'で', 'その', '友人', 'に', '飯', 'を', '食わせる', 'ない', 'ば', 'なる', 'ない', 'なる', 'た', '先生', 'は', '訳', 'を', '話す', 'て', '私', 'に', '帰る', 'て', 'くる', '間', 'まで', 'の', '留守番', 'を', '頼む', 'だ', '私', 'は', 'すぐ', '引き受ける', 'た']"
224,　私の行ったのはまだ灯の点くか点かない暮れ方であったが、几帳面な先生はもう宅にいなかった。「時間に後れると悪いって、つい今しがた出掛けました」といった奥さんは、私を先生の書斎へ案内した。,[1]上＿先生と私,1_16,上・十六,"['私', 'の', '行う', 'た', 'の', 'は', 'まだ', '灯', 'の', '点く', 'か', '点く', 'ない', '暮れ', '方', 'だ', 'ある', 'た', 'が', '几帳面', 'だ', '先生', 'は', 'もう', '宅', 'に', 'いる', 'ない', 'た', '時間', 'に', '後れる', 'と', '悪い', 'って', 'つい', '今しがた', '出掛ける', 'ます', 'た', 'といった', '奥さん', 'は', '私', 'を', '先生', 'の', '書斎', 'へ', '案内', 'する', 'た']"
225,　書斎には洋机と椅子の外に、沢山の書物が美しい背皮を並べて、硝子越に電燈の光で照らされていた。奥さんは火鉢の前に敷いた座蒲団の上へ私を坐らせて、「ちっとそこいらにある本でも読んでいて下さい」と断って出て行った。私はちょうど主人の帰りを待ち受ける客のような気がして済まなかった。私は畏まったまま烟草を飲んでいた。奥さんが茶の間で何か下女に話している声が聞こえた。書斎は茶の間の縁側を突き当って折れ曲った角にあるので、棟の位置からいうと、座敷よりもかえって掛け離れた静かさを領していた。ひとしきりで奥さんの話し声が已むと、後はしんとした。私は泥棒を待ち受けるような心持で、凝としながら気をどこかに配った。,[1]上＿先生と私,1_16,上・十六,"['書斎', 'に', 'は', '洋', '机', 'と', '椅子', 'の', '外', 'に', '沢山', 'の', '書物', 'が', '美しい', '背皮', 'を', '並べる', 'て', '硝子', '越', 'に', '電', '燈', 'の', '光', 'で', '照らす', 'れる', 'て', 'いる', 'た', '奥さん', 'は', '火鉢', 'の', '前', 'に', '敷く', 'た', '座蒲団', 'の', '上', 'へ', '私', 'を', '坐る', 'せる', 'て', 'ちっと', 'そこ', 'いる', 'ら', 'に', 'ある', '本', 'でも', '読む', 'で', 'いる', 'て', '下さる', 'と', '断る', 'て', '出る', 'て', '行く', 'た', '私', 'は', 'ちょうど', '主人', 'の', '帰り', 'を', '待ち受ける', '客', 'の', 'よう', 'だ', '気', 'が', 'する', 'て', '済まない', 'た', '私', 'は', '畏まる', 'た', 'まま', '烟草', 'を', '飲む', 'で', 'いる', 'た', '奥さん', 'が', '茶の間', 'で', '何', 'か', '下女', 'に', '話す', 'て', 'いる', '声', 'が', '聞こえる', 'た', '書斎', 'は', '茶の間', 'の', '縁側', 'を', '突き当る', 'て', '折れる', '曲る', 'た', '角', 'に', 'ある', 'ので', '棟', 'の', '位置', 'から', 'いう', 'と', '座敷', 'より', 'も', 'かえって', '掛け離れる', 'た', '静か', 'さ', 'を', '領', 'する', 'て', 'いる', 'た', 'ひとしきり', 'で', '奥さん', 'の', '話し声', 'が', '已', 'むと', '後', 'は', 'しん', 'と', 'する', 'た', '私', 'は', '泥棒', 'を', '待ち受ける', 'よう', 'だ', '心持', 'で', '凝る', 'と', 'する', 'ながら', '気', 'を', 'どこ', 'か', 'に', '配る', 'た']"
226,　三十分ほどすると、奥さんがまた書斎の入口へ顔を出した。「おや」といって、軽く驚いた時の眼を私に向けた。そうして客に来た人のように鹿爪らしく控えている私をおかしそうに見た。,[1]上＿先生と私,1_16,上・十六,"['三', '十', '分', 'ほど', 'する', 'と', '奥さん', 'が', 'また', '書斎', 'の', '入口', 'へ', '顔', 'を', '出す', 'た', 'おや', 'と', 'いう', 'て', '軽い', '驚く', 'た', '時', 'の', '眼', 'を', '私', 'に', '向ける', 'た', 'そうして', '客', 'に', '来る', 'た', '人', 'の', 'よう', 'に', '鹿', '爪', 'らしい', '控える', 'て', 'いる', '私', 'を', 'おかす', 'そう', 'に', '見る', 'た']"
227,「それじゃ窮屈でしよう」,[1]上＿先生と私,1_16,上・十六,"['それ', 'じゃ', '窮屈', 'だ', 'する', 'う']"
228,「いえ、窮屈じゃありません」,[1]上＿先生と私,1_16,上・十六,"['いえる', '窮屈', 'じゃ', 'ある', 'ます', 'ん']"
229,「でも退屈でしよう」,[1]上＿先生と私,1_16,上・十六,"['でも', '退屈', 'で', 'する', 'う']"
230,「いいえ。泥棒が来るかと思って緊張しているから退屈でもありません」,[1]上＿先生と私,1_16,上・十六,"['いいえ', '泥棒', 'が', '来る', 'か', 'と', '思う', 'て', '緊張', 'する', 'て', 'いる', 'から', '退屈', 'でも', 'ある', 'ます', 'ん']"
231,　奥さんは手に紅茶茶碗を持ったまま、笑いながらそこに立っていた。,[1]上＿先生と私,1_16,上・十六,"['奥さん', 'は', '手', 'に', '紅茶', '茶碗', 'を', '持つ', 'た', 'まま', '笑う', 'ながら', 'そこ', 'に', '立つ', 'て', 'いる', 'た']"
232,「ここは隅っこだから番をするには好くありませんね」と私がいった。,[1]上＿先生と私,1_16,上・十六,"['ここ', 'は', '隅っこ', 'だ', 'から', '番', 'を', 'する', 'に', 'は', '好い', 'ある', 'ます', 'ん', 'ね', 'と', '私', 'が', 'いう', 'た']"
233,「じゃ失礼ですがもっと真中へ出て来て頂戴。ご退屈だろうと思って、お茶を入れて持って来たんですが、茶の間で宜しければあちらで上げますから」,[1]上＿先生と私,1_16,上・十六,"['じゃ', '失礼', 'です', 'が', 'もっと', '真中', 'へ', '出る', 'て', '来る', 'て', '頂戴', 'ご', '退屈', 'だ', 'う', 'と', '思う', 'て', 'お茶', 'を', '入れる', 'て', '持つ', 'て', '来る', 'た', 'ん', 'です', 'が', '茶の間', 'で', '宜しい', 'ば', 'あちら', 'で', '上げる', 'ます', 'から']"
234,　私は奥さんの後に尾いて書斎を出た。茶の間には綺麗な長火鉢に鉄瓶が鳴っていた。私はそこで茶と菓子のご馳走になった。奥さんは寝られないといけないといって、茶碗に手を触れなかった。,[1]上＿先生と私,1_16,上・十六,"['私', 'は', '奥さん', 'の', '後', 'に', '尾', 'いる', 'て', '書斎', 'を', '出る', 'た', '茶の間', 'に', 'は', '綺麗', 'だ', '長火鉢', 'に', '鉄瓶', 'が', '鳴る', 'て', 'いる', 'た', '私', 'は', 'そこ', 'で', '茶', 'と', '菓子', 'の', 'ご馳走', 'に', 'なる', 'た', '奥さん', 'は', '寝る', 'られる', 'ない', 'と', 'いける', 'ない', 'と', 'いう', 'て', '茶碗', 'に', '手', 'を', '触れる', 'ない', 'た']"
235,「先生はやっぱり時々こんな会へお出掛けになるんですか」,[1]上＿先生と私,1_16,上・十六,"['先生', 'は', 'やっぱり', '時々', 'こんな', '会', 'へ', 'お', '出掛ける', 'に', 'なる', 'ん', 'です', 'か']"
236,「いいえ滅多に出た事はありません。近頃は段々人の顔を見るのが嫌いになるようです」,[1]上＿先生と私,1_16,上・十六,"['いいえ', '滅多', 'に', '出る', 'た', '事', 'は', 'ある', 'ます', 'ん', '近頃', 'は', '段々', '人', 'の', '顔', 'を', '見る', 'の', 'が', '嫌い', 'に', 'なる', 'よう', 'です']"
237,　こういった奥さんの様子に、別段困ったものだという風も見えなかったので、私はつい大胆になった。,[1]上＿先生と私,1_16,上・十六,"['こう', 'いう', 'た', '奥さん', 'の', '様子', 'に', '別段', '困る', 'た', 'もの', 'だ', 'という', '風', 'も', '見える', 'ない', 'た', 'ので', '私', 'は', 'つい', '大胆', 'に', 'なる', 'た']"
238,「それじゃ奥さんだけが例外なんですか」,[1]上＿先生と私,1_16,上・十六,"['それ', 'じゃ', '奥さん', 'だけ', 'が', '例外', 'だ', 'ん', 'です', 'か']"
239,「いいえ私も嫌われている一人なんです」,[1]上＿先生と私,1_16,上・十六,"['いいえ', '私', 'も', '嫌う', 'れる', 'て', 'いる', '一', '人', 'だ', 'ん', 'です']"
240,「そりゃ嘘です」と私がいった。「奥さん自身嘘と知りながらそうおっしゃるんでしょう」,[1]上＿先生と私,1_16,上・十六,"['そりゃ', '嘘', 'です', 'と', '私', 'が', 'いう', 'た', '奥さん', '自身', '嘘', 'と', '知る', 'ながら', 'そう', 'おっしゃる', 'ん', 'です', 'う']"
241,「なぜ」,[1]上＿先生と私,1_16,上・十六,['なぜ']
242,「私にいわせると、奥さんが好きになったから世間が嫌いになるんですもの」,[1]上＿先生と私,1_16,上・十六,"['私', 'に', 'いう', 'せる', 'と', '奥さん', 'が', '好き', 'に', 'なる', 'た', 'から', '世間', 'が', '嫌い', 'に', 'なる', 'ん', 'です', 'もの']"
243,「あなたは学問をする方だけあって、なかなかお上手ね。空っぽな理屈を使いこなす事が。世の中が嫌いになったから、私までも嫌いになったんだともいわれるじゃありませんか。それと同なじ理屈で」,[1]上＿先生と私,1_16,上・十六,"['あなた', 'は', '学問', 'を', 'する', '方', 'だけ', 'ある', 'て', 'なかなか', 'お', '上手', 'ね', '空っぽ', 'だ', '理屈', 'を', '使いこなす', '事', 'が', '世の中', 'が', '嫌い', 'に', 'なる', 'た', 'から', '私', 'まで', 'も', '嫌い', 'に', 'なる', 'た', 'ん', 'だ', 'と', 'も', 'いう', 'れる', 'じゃ', 'ある', 'ます', 'ん', 'か', 'それと', '同', 'なじる', '理屈', 'で']"
244,「両方ともいわれる事はいわれますが、この場合は私の方が正しいのです」,[1]上＿先生と私,1_16,上・十六,"['両方', 'と', 'も', 'いう', 'れる', '事', 'は', 'いう', 'れる', 'ます', 'が', 'この', '場合', 'は', '私', 'の', '方', 'が', '正しい', 'の', 'です']"
245,「議論はいやよ。よく男の方は議論だけなさるのね、面白そうに。空の盃でよくああ飽きずに献酬ができると思いますわ」,[1]上＿先生と私,1_16,上・十六,"['議論', 'は', 'いや', 'よ', 'よく', '男', 'の', '方', 'は', '議論', 'だけ', 'なさる', 'の', 'ね', '面白い', 'そう', 'に', '空', 'の', '盃', 'で', 'よく', 'ああ', '飽きる', 'ぬ', 'に', '献酬', 'が', 'できる', 'と', '思う', 'ます', 'わ']"
246,　奥さんの言葉は少し手痛かった。しかしその言葉の耳障からいうと、決して猛烈なものではなかった。自分に頭脳のある事を相手に認めさせて、そこに一種の誇りを見出すほどに奥さんは現代的でなかった。奥さんはそれよりもっと底の方に沈んだ心を大事にしているらしく見えた。,[1]上＿先生と私,1_16,上・十六,"['奥さん', 'の', '言葉', 'は', '少し', '手痛い', 'た', 'しかし', 'その', '言葉', 'の', '耳', '障る', 'から', 'いう', 'と', '決して', '猛烈', 'だ', 'もの', 'だ', 'は', 'ない', 'た', '自分', 'に', '頭脳', 'の', 'ある', '事', 'を', '相手', 'に', '認める', 'させる', 'て', 'そこ', 'に', '一種', 'の', '誇り', 'を', '見出す', 'ほど', 'に', '奥さん', 'は', '現代', '的', 'だ', 'ない', 'た', '奥さん', 'は', 'それ', 'より', 'もっと', '底', 'の', '方', 'に', '沈む', 'だ', '心', 'を', '大事', 'に', 'する', 'て', 'いる', 'らしい', '見える', 'た']"
